Date,Matchup,Result,Sport
Dec 1 2019,vsBoston Boston ,L113-104 ,Basketball
Dec 16 2019,vsNashville Nashville ,L5-2 ,Hockey
Dec 17 2019,vsAtlanta Atlanta ,W143-120 ,Basketball
Dec 2 2019,vsVegas Vegas ,L4-1 ,Hockey
Dec 20 2019,vsToronto Toronto ,L6-3 ,Hockey
Dec 21 2019,vsMilwaukee Milwaukee ,L123-102 ,Basketball
Dec 22 2019,vsAnaheim Anaheim ,W5-1 ,Hockey
Dec 23 2019,vsWashington Washington ,L121-115 ,Basketball
Dec 27 2019,vsCarolina Carolina ,W5-3 ,Hockey
Dec 5 2019,vsDenver Denver ,L129-92 ,Basketball
Dec 6 2019,vsMontreal Montreal ,L2-1 ,Hockey
Dec 7 2019,vsIndiana Indiana ,L104-103 ,Basketball
Feb 12 2020,vsWashington Washington ,L114-96 ,Basketball
Feb 16 2020,vsBoston Boston ,L3-1 ,Hockey
Feb 21 2020,vsIndiana Indiana ,L106-98 ,Basketball
Feb 22 2020,vsSan Jose San Jose ,W3-2 ,Hockey
Feb 29 2020,vsChicago Chicago ,W125-115 ,Basketball
Feb 3 2020,vsDallas Dallas ,L5-3 ,Hockey
Feb 5 2020,vsToronto Toronto ,W5-3 ,Hockey
Feb 6 2020,vsOrlando Orlando ,W105-103 ,Basketball
Feb 7 2020,vsBuffalo Buffalo ,L3-2 ,Hockey
Feb 9 2020,vsLos Angeles Los Angeles ,W4-1 ,Hockey
Jan 1 2020,vsPortland Portland ,W117-93 ,Basketball
Jan 10 2020,vsNew Orleans New Orleans ,L123-111 ,Basketball
Jan 12 2020,vsMiami Miami ,W124-121 ,Basketball
Jan 13 2020,vsNew York New York ,W6-2 ,Hockey
Jan 16 2020,vsPhoenix Phoenix ,L121-98 ,Basketball
Jan 18 2020,vsPhiladelphia Philadelphia ,L90-87 ,Basketball
Jan 19 2020,vsColumbus Columbus ,L2-1 ,Hockey
Jan 21 2020,vsNew York New York ,L4-2 ,Hockey
Jan 22 2020,vsLos Angeles Los Angeles ,L100-92 ,Basketball
Jan 24 2020,vsToronto Toronto ,L118-112 ,Basketball
Jan 26 2020,vsBrooklyn Brooklyn ,W110-97 ,Basketball
Jan 29 2020,vsMemphis Memphis ,L127-106 ,Basketball
Jan 31 2020,vsDetroit Detroit ,W4-2 ,Hockey
Jan 7 2020,vsColorado Colorado ,W5-3 ,Hockey
Jan 9 2020,vsNew Jersey New Jersey ,W6-3 ,Hockey
Mar 1 2020,vsPhiladelphia Philadelphia ,L5-3 ,Hockey
Mar 2 2020,vsHouston Houston ,W125-123 ,Basketball
Mar 3 2020,vsSt. Louis St. Louis ,L3-1 ,Hockey
Mar 4 2020,vsUtah Utah ,L112-104 ,Basketball
Mar 5 2020,vsWashington Washington ,W6-5 OT ,Hockey
Mar 6 2020,vsOklahoma City Oklahoma City ,L126-103 ,Basketball
Mar 7 2020,vsNew Jersey New Jersey ,L6-4 ,Hockey
Mar 8 2020,vsDetroit Detroit ,W96-84 ,Basketball
Nov 10 2019,vsFlorida Florida ,L6-5 SO ,Hockey
Nov 10 2019,vsCleveland Cleveland ,L108-87 ,Basketball
Nov 12 2019,vsPittsburgh Pittsburgh ,W3-2 OT ,Hockey
Nov 14 2019,vsDallas Dallas ,W106-103 ,Basketball
Nov 16 2019,vsCharlotte Charlotte ,L103-102 ,Basketball
Nov 18 2019,vsCleveland Cleveland ,W123-105 ,Basketball
Nov 20 2019,vsWashington Washington ,W4-1 ,Hockey
Nov 23 2019,vsSan Antonio San Antonio ,L111-104 ,Basketball
Nov 24 2019,vsBrooklyn Brooklyn ,L103-101 ,Basketball
Nov 25 2019,vsMinnesota Minnesota ,W3-2 OT ,Hockey
Nov 27 2019,vsCarolina Carolina ,W3-2 ,Hockey
Nov 29 2019,vsPhiladelphia Philadelphia ,L101-95 ,Basketball
Nov 3 2019,vsSacramento Sacramento ,L113-92 ,Basketball
Nov 4 2019,vsOttawa Ottawa ,L6-2 ,Hockey
Nov 6 2019,vsDetroit Detroit ,W5-1 ,Hockey
Oct 12 2019,vsEdmonton Edmonton ,L4-1 ,Hockey
Oct 20 2019,vsVancouver Vancouver ,L3-2 ,Hockey
Oct 22 2019,vsArizona Arizona ,L3-2 OT ,Hockey
Oct 24 2019,vsBuffalo Buffalo ,W6-2 ,Hockey
Oct 26 2019,vsBoston Boston ,L118-95 ,Basketball
Oct 27 2019,vsBoston Boston ,L7-4 ,Hockey
Oct 28 2019,vsChicago Chicago ,W105-98 ,Basketball
Oct 29 2019,vsTampa Bay Tampa Bay ,W4-1 ,Hockey
Oct 3 2019,vsWinnipeg Winnipeg ,W6-4 ,Hockey
