Day,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14
1,0,0.13,0,0.15,0,0,0,0.01,0,0.23,0,0,0.06,0.03,0.09,0.56,0.73,0.45,0,0.39,0,0,0,0,0.001,0,0,0.01,0,0,0.73,0.5,0.001,0,0.05,0,0,0,0,0,0.15,0,0.001,0.001,0,0.001,0.18,0.05
2,0.001,0.67,0,0,0.001,0,0,0,0,0.09,0,0,0,0,0.19,0.04,0.03,0.66,0,0,0,0.39,0.001,0.03,0,0.01,0.001,0,0,0.11,0.06,0,0.9,0,0.01,0,0.18,0.001,0.001,0.001,0.001,0,0.63,0.4,0,0.001,0.001,0.11
3,0,0,0,0.001,0,0,0.32,0.86,0,0.02,0,0,0,0,0.12,0,0.32,0.01,0,0,0.001,0.001,0,0,0,0.03,0.001,0,0,0.96,0.96,0.01,0.09,0,0.001,0,0.25,1.08,0.01,0.07,0.03,0.06,0.73,0.07,0,0,0,0.1
4,0,0,0,0.04,0.5,0.001,0,0,0,0.001,0,0,0,0,0,0.001,0.26,0.26,0.05,0,0.14,0.001,0,0.05,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.19,0.001,0.001,0.16,0,0,1.05,0,0
5,0,0.24,0.001,0.1,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0.001,0,0.29,0.48,0,0,0.01,0,0.02,0,0.001,0,0,0,0,0,0,0,0.01,0.1,1.18,0,0,0,0.7,0,0,0,0,0,0.52
6,0,0,2.08,0.1,0,0,0.001,0.11,2.31,0,0,0.26,0,0,0,0,0,0.001,0,0.01,0,0,0,0,0.001,0.001,0.001,0,0,0.1,0,0,0,0.01,0,0.73,0.31,0,0,0,0,0,0,0,0.21,0,0.34,1.29
7,0.13,0.09,0.08,0.01,0.001,0,0.001,0.17,0.92,0,0,1.38,0,0,0,0,0.001,0.1,0.24,0,0,0.19,0.76,0.1,0,0,0.13,0.001,0,3.33,0,0.01,0.001,0.33,0.08,0.13,0,0,0,0.66,0,0,0,0,0.001,0.03,0.001,0.03
8,0.001,0.11,0,0,0,0,0.42,0,0.96,0,0,0.2,0,0.01,0,0,0.04,0,0.07,0,1.18,0,0.12,0.36,0,0.67,0.25,0,2.28,0.79,0,0.2,0.001,0,0,0.05,0,0,0,0.34,0.39,0,0.18,0,0,0.03,0,0
9,0,0,0.01,0,0,0.34,0,1.43,0,0,0,0.001,0,0.001,0.02,0,0.43,0.001,0,0.001,0.001,0.06,0,0.3,0,0.22,0,0.01,0.38,0,0.06,0.07,0,0,0,0.21,0,0.1,0,0,0.02,1.24,0,0,0,0,0,2.68
10,0,0,1.18,0,0,0.001,0,0,0,0,0.001,0,0,0.001,0,0.001,0.16,0.02,0,0.31,0,0.21,0,0.03,0,0,0,0.41,0,1.25,0.02,0,0.001,0.001,0.001,0.22,0.15,0,0.001,0,0.91,0,0,0,0,0.001,0,0.14
